sample_id,0.002,0.0063,0.02,0.063,0.2,0.63,2,6.3,20,63,200
F827,9.4904,19.3892,47.6257,89.5554,99.8965,99.9896,100.0,100.0,100.0,100.0,100.0
G190,5.2076,10.2425,23.7537,50.3113,75.8311,85.7233,90.9898,94.8969,98.5814,100.0,100.0
H030,6.7833,10.9091,19.0599,37.3235,66.8349,96.4965,97.953,99.5691,100.0,100.0,100.0
H037,0.932,6.45,16.3216,27.8019,34.6629,46.3652,62.7168,79.0523,89.783,100.0,100.0
H038,1.8218,5.14,10.6113,18.2778,24.642,35.0767,47.2345,63.3992,81.0851,95.7127,100.0
H126,6.333,12.5995,32.5463,68.3599,84.6357,89.5359,94.8473,99.4738,100.0,100.0,100.0
H181,0.0,0.0,0.0,4.2956,7.8382,17.4746,37.4069,71.2397,95.6027,100.0,100.0
H183,0.0,0.0,0.0,4.9489,8.1046,14.4387,32.2812,65.7083,95.845,100.0,100.0
H366,0.9633,2.0893,5.0347,9.4833,13.7489,20.2655,32.817,55.3867,86.2023,100.0,100.0
H367,0.8232,1.8584,4.1483,7.5417,11.0995,17.3609,30.4114,56.1341,85.7588,100.0,100.0
H368,0.5878,1.2731,2.7489,4.9809,7.9203,12.4228,22.7624,50.681,85.3669,100.0,100.0
H371,1.1625,2.4517,5.8097,8.9449,12.7923,19.9739,33.0121,58.1934,87.1727,100.0,100.0
H372,1.2023,2.3664,5.6877,8.6936,12.1726,18.1881,31.0556,57.2544,89.0619,100.0,100.0
H374,1.1223,2.4374,5.5348,9.3031,13.1208,18.2481,29.4152,51.2113,76.4875,92.6403,100.0
H405,17.7068,26.4625,47.111,75.656,91.3413,95.9413,98.4538,100.0,100.0,100.0,100.0
H493,3.275,4.8317,15.1817,51.9481,95.7849,98.8004,99.2105,99.7965,100.0,100.0,100.0
H516,0.0,0.0,0.0,0.8232,7.6259,21.5512,52.9412,93.918,100.0,100.0,100.0
H549,4.8814,14.129,39.1774,69.7648,91.1533,98.6943,99.7513,99.9722,100.0,100.0,100.0
H615,0.0,1.2154,2.2749,4.8402,7.9467,12.3468,23.8817,54.4046,91.1403,100.0,100.0
H616,0.0,0.0,0.0,2.7806,47.7306,97.5687,98.3221,98.6542,99.3582,100.0,100.0
H617,0.9642,3.1047,12.9051,34.7013,73.9892,93.6545,94.7695,96.5944,98.9967,100.0,100.0
H637,2.0416,3.623,6.3369,14.8196,24.9023,35.4016,46.8916,61.9279,81.061,100.0,100.0
H666,1.3176,4.0266,10.2105,46.7457,92.2024,99.5519,99.7888,100.0,100.0,100.0,100.0
H668,6.5998,15.1557,36.3883,73.5935,91.9654,95.5478,97.0426,98.5726,99.8326,100.0,100.0
